scenario,agent,detection_rate,detection_rate_std,detection_rate_ci95,false_positive_rate,false_positive_rate_std,false_positive_rate_ci95,avg_reward,avg_reward_std,avg_reward_ci95,std_reward,std_reward_std,std_reward_ci95,avg_throughput_mbps,avg_throughput_mbps_std,avg_throughput_mbps_ci95,throughput_degradation_pct,throughput_degradation_pct_std,throughput_degradation_pct_ci95,avg_latency_ms,avg_latency_ms_std,avg_latency_ms_ci95,latency_overhead_ms,latency_overhead_ms_std,latency_overhead_ms_ci95,adaptation_speed_s,adaptation_speed_s_std,adaptation_speed_s_ci95,avg_policy_switches,avg_policy_switches_std,avg_policy_switches_ci95,oscillation_rate,oscillation_rate_std,oscillation_rate_ci95,total_tp,total_tp_std,total_tp_ci95,total_fn,total_fn_std,total_fn_ci95,total_fp,total_fp_std,total_fp_ci95,total_tn,total_tn_std,total_tn_ci95
ddos,PPO,0.8925,0.0,0.0,0.0065,0.0,0.0,80.7069,0.0,0.0,2.0251,0.0,0.0,35.9594,0.0,0.0,64.0406,0.0,0.0,34.8591,0.0,0.0,29.8591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16638.0,0.0,0.0,2003.0,0.0,0.0,1162.0,0.0,0.0,178838.0,0.0,0.0
ddos,Static,0.0599,0.0,0.0,0.0,0.0,0.0,18.8673,0.0,0.0,1.9189,0.0,0.0,35.4818,0.0,0.0,64.5182,0.0,0.0,35.2486,0.0,0.0,30.2486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,998.0,0.0,0.0,15669.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0
port_scan,PPO,0.8931,0.0,0.0,0.0071,0.0,0.0,97.3294,0.0,0.0,1.1393,0.0,0.0,65.9759,0.0,0.0,34.0241,0.0,0.0,17.2381,0.0,0.0,12.2381,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16392.0,0.0,0.0,1962.0,0.0,0.0,1279.0,0.0,0.0,178721.0,0.0,0.0
port_scan,Static,0.0594,0.0,0.0,0.0,0.0,0.0,35.7154,0.0,0.0,0.7909,0.0,0.0,65.0873,0.0,0.0,34.9127,0.0,0.0,17.5984,0.0,0.0,12.5984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,982.0,0.0,0.0,15553.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0
spoofing,PPO,0.8939,0.0,0.0,0.0076,0.0,0.0,92.087,0.0,0.0,1.5609,0.0,0.0,58.8628,0.0,0.0,41.1372,0.0,0.0,22.6144,0.0,0.0,17.6144,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16332.0,0.0,0.0,1938.0,0.0,0.0,1359.0,0.0,0.0,178641.0,0.0,0.0
spoofing,Static,0.0586,0.0,0.0,0.0,0.0,0.0,31.3478,0.0,0.0,0.9895,0.0,0.0,58.5429,0.0,0.0,41.4571,0.0,0.0,22.9106,0.0,0.0,17.9106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,964.0,0.0,0.0,15490.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0
mixed,PPO,0.8943,0.0,0.0,0.0068,0.0,0.0,87.8607,0.0,0.0,1.9276,0.0,0.0,48.8822,0.0,0.0,51.1178,0.0,0.0,27.7248,0.0,0.0,22.7248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16585.0,0.0,0.0,1961.0,0.0,0.0,1219.0,0.0,0.0,178781.0,0.0,0.0
mixed,Static,0.0592,0.0,0.0,0.0,0.0,0.0,26.0739,0.0,0.0,2.0526,0.0,0.0,48.6703,0.0,0.0,51.3297,0.0,0.0,28.0373,0.0,0.0,23.0373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,981.0,0.0,0.0,15601.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0
