agent,max_steps,detection_rate,detection_rate_std,detection_rate_ci95,false_positive_rate,false_positive_rate_std,false_positive_rate_ci95,avg_reward,avg_reward_std,avg_reward_ci95,std_reward,std_reward_std,std_reward_ci95,avg_throughput_mbps,avg_throughput_mbps_std,avg_throughput_mbps_ci95,throughput_degradation_pct,throughput_degradation_pct_std,throughput_degradation_pct_ci95,avg_latency_ms,avg_latency_ms_std,avg_latency_ms_ci95,latency_overhead_ms,latency_overhead_ms_std,latency_overhead_ms_ci95,adaptation_speed_s,adaptation_speed_s_std,adaptation_speed_s_ci95,avg_policy_switches,avg_policy_switches_std,avg_policy_switches_ci95,oscillation_rate,oscillation_rate_std,oscillation_rate_ci95,total_tp,total_tp_std,total_tp_ci95,total_fn,total_fn_std,total_fn_ci95,total_fp,total_fp_std,total_fp_ci95,total_tn,total_tn_std,total_tn_ci95
DQN,500,0.8964,0.0,0.0,0.0064,0.0,0.0,219.708,0.0,0.0,4.1162,0.0,0.0,47.8273,0.0,0.0,52.1727,0.0,0.0,28.4596,0.0,0.0,23.4596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20931.0,0.0,0.0,2418.0,0.0,0.0,1448.0,0.0,0.0,223552.0,0.0,0.0
PPO,500,0.896,0.0,0.0,0.0062,0.0,0.0,220.8691,0.0,0.0,2.783,0.0,0.0,47.9754,0.0,0.0,52.0246,0.0,0.0,28.4423,0.0,0.0,23.4423,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20947.0,0.0,0.0,2432.0,0.0,0.0,1399.0,0.0,0.0,223601.0,0.0,0.0
