scenario,agent,detection_rate,detection_rate_std,detection_rate_ci95,false_positive_rate,false_positive_rate_std,false_positive_rate_ci95,avg_reward,avg_reward_std,avg_reward_ci95,std_reward,std_reward_std,std_reward_ci95,avg_throughput_mbps,avg_throughput_mbps_std,avg_throughput_mbps_ci95,throughput_degradation_pct,throughput_degradation_pct_std,throughput_degradation_pct_ci95,avg_latency_ms,avg_latency_ms_std,avg_latency_ms_ci95,latency_overhead_ms,latency_overhead_ms_std,latency_overhead_ms_ci95,adaptation_speed_s,adaptation_speed_s_std,adaptation_speed_s_ci95,avg_policy_switches,avg_policy_switches_std,avg_policy_switches_ci95,oscillation_rate,oscillation_rate_std,oscillation_rate_ci95,total_tp,total_tp_std,total_tp_ci95,total_fn,total_fn_std,total_fn_ci95,total_fp,total_fp_std,total_fp_ci95,total_tn,total_tn_std,total_tn_ci95
ddos,DQN,0.8908,0.0,0.0,0.0066,0.0,0.0,81.7827,0.0,0.0,3.1224,0.0,0.0,38.2595,0.0,0.0,61.7405,0.0,0.0,33.6499,0.0,0.0,28.6499,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.001,0.0,0.0,16456.0,0.0,0.0,2017.0,0.0,0.0,1192.0,0.0,0.0,178808.0,0.0,0.0
ddos,Static,0.0593,0.0,0.0,0.0,0.0,0.0,19.0137,0.0,0.0,2.922,0.0,0.0,35.7079,0.0,0.0,64.2921,0.0,0.0,34.9541,0.0,0.0,29.9541,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,987.0,0.0,0.0,15668.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0
port_scan,DQN,0.8963,0.0,0.0,0.0071,0.0,0.0,98.1808,0.0,0.0,1.2741,0.0,0.0,66.8813,0.0,0.0,33.1187,0.0,0.0,16.6678,0.0,0.0,11.6678,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.001,0.0,0.0,16563.0,0.0,0.0,1917.0,0.0,0.0,1271.0,0.0,0.0,178729.0,0.0,0.0
port_scan,Static,0.0585,0.0,0.0,0.0,0.0,0.0,36.7637,0.0,0.0,1.1378,0.0,0.0,66.9131,0.0,0.0,33.0869,0.0,0.0,16.389,0.0,0.0,11.389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,967.0,0.0,0.0,15570.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0
spoofing,DQN,0.8978,0.0,0.0,0.0073,0.0,0.0,93.1086,0.0,0.0,1.015,0.0,0.0,59.2858,0.0,0.0,40.7142,0.0,0.0,22.4047,0.0,0.0,17.4047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16456.0,0.0,0.0,1874.0,0.0,0.0,1307.0,0.0,0.0,178693.0,0.0,0.0
spoofing,Static,0.0602,0.0,0.0,0.0,0.0,0.0,32.266,0.0,0.0,0.4704,0.0,0.0,59.6789,0.0,0.0,40.3211,0.0,0.0,21.8317,0.0,0.0,16.8317,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,990.0,0.0,0.0,15451.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0
mixed,DQN,0.8941,0.0,0.0,0.0069,0.0,0.0,88.06,0.0,0.0,2.7079,0.0,0.0,50.5207,0.0,0.0,49.4793,0.0,0.0,27.4389,0.0,0.0,22.4389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16562.0,0.0,0.0,1962.0,0.0,0.0,1247.0,0.0,0.0,178753.0,0.0,0.0
mixed,Static,0.0589,0.0,0.0,0.0,0.0,0.0,24.5007,0.0,0.0,3.1554,0.0,0.0,45.7003,0.0,0.0,54.2997,0.0,0.0,29.4519,0.0,0.0,24.4519,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,978.0,0.0,0.0,15618.0,0.0,0.0,0.0,0.0,0.0,180000.0,0.0,0.0
