episode,steps,total_reward,avg_reward,epsilon,avg_loss,r_detection,r_false_positive,r_throughput,r_latency,r_stability,action_0_pct,action_1_pct,action_2_pct,action_3_pct,buffer_size,wall_time_s
44,200,69.675898,0.348379,0.8328,0.141017,0.5652,-0.0039,0.5554,0.5619,-0.162,19.0,28.5,27.0,25.5,8800,12.91
45,200,64.239958,0.3212,0.829,0.150217,0.5333,-0.0076,0.5032,0.5039,-0.161,19.5,22.5,31.0,27.0,9000,13.87
46,200,62.455601,0.312278,0.8252,0.120422,0.5006,-0.0081,0.5118,0.5348,-0.162,19.0,29.5,24.0,27.5,9200,12.85
47,200,67.415306,0.337077,0.8214,0.139183,0.5633,-0.0072,0.5206,0.5175,-0.163,18.5,27.0,28.0,26.5,9400,14.52
48,200,65.015508,0.325078,0.8176,0.111261,0.5452,-0.0069,0.4903,0.5079,-0.156,22.0,29.0,22.0,27.0,9600,12.66
49,200,65.235583,0.326178,0.8138,0.135885,0.5195,-0.0079,0.5413,0.5497,-0.158,21.0,31.5,24.5,23.0,9800,13.48
50,200,59.544197,0.297721,0.81,0.113025,0.4901,-0.0059,0.4617,0.488,-0.149,25.5,17.5,26.5,30.5,10000,14.84
51,200,60.978323,0.304892,0.8062,0.097323,0.4802,-0.0077,0.5175,0.5271,-0.156,22.0,27.5,26.5,24.0,10200,13.03
52,200,64.473077,0.322365,0.8024,0.120161,0.4822,-0.0088,0.5896,0.5953,-0.163,18.5,25.5,24.0,32.0,10400,15.19
53,200,67.906406,0.339532,0.7986,0.145574,0.4857,-0.0097,0.6468,0.6636,-0.157,21.5,31.0,25.5,22.0,10600,13.59
54,200,67.13118,0.335656,0.7948,0.167117,0.5861,-0.0034,0.4762,0.4635,-0.157,21.5,25.5,25.0,28.0,10800,14.13
55,200,67.45267,0.337263,0.791,0.174837,0.581,-0.0052,0.481,0.4949,-0.155,22.5,30.0,17.0,30.5,11000,14.5
56,200,67.997941,0.33999,0.7872,0.213059,0.5538,-0.0084,0.5439,0.5508,-0.161,19.5,31.0,23.5,26.0,11200,15.11
57,200,65.528746,0.327644,0.7834,0.18558,0.5038,-0.0096,0.5778,0.5757,-0.157,21.5,33.0,19.5,26.0,11400,15.22
58,200,69.776001,0.34888,0.7796,0.111392,0.5509,-0.0064,0.5811,0.5948,-0.165,17.5,31.0,21.5,30.0,11600,14.7
59,200,61.572383,0.307862,0.7758,0.265329,0.4652,-0.0137,0.5617,0.5746,-0.165,17.5,32.5,27.5,22.5,11800,14.43
60,200,64.582029,0.32291,0.772,0.150748,0.5529,-0.0086,0.4797,0.4822,-0.163,18.5,27.0,25.5,29.0,12000,12.69
61,200,67.942234,0.339711,0.7682,0.126347,0.564,-0.0056,0.5198,0.5314,-0.156,22.0,30.5,22.5,25.0,12200,14.43
62,200,64.80555,0.324028,0.7644,0.220775,0.525,-0.0074,0.5273,0.5218,-0.154,23.0,27.5,20.5,29.0,12400,15.43
63,200,55.774647,0.278873,0.7606,0.158222,0.3888,-0.0139,0.5666,0.5717,-0.153,23.5,22.5,25.5,28.5,12600,14.75
64,200,60.545712,0.302729,0.7568,0.138434,0.4107,-0.0113,0.6283,0.6295,-0.159,20.5,23.0,28.5,28.0,12800,15.33
65,200,64.871451,0.324357,0.753,0.191958,0.5177,-0.0086,0.5361,0.5431,-0.153,23.5,26.0,22.0,28.5,13000,14.57
66,200,68.604033,0.34302,0.7492,0.123633,0.5988,-0.0042,0.4762,0.4914,-0.16,20.0,26.0,26.0,28.0,13200,14.48
67,200,69.695019,0.348475,0.7454,0.191897,0.5482,-0.0068,0.5835,0.599,-0.165,17.5,27.5,28.5,26.5,13400,15.48
68,200,65.043004,0.325215,0.7416,0.163906,0.5811,-0.0032,0.4256,0.4582,-0.161,19.5,23.5,23.0,34.0,13600,15.98
69,200,64.854005,0.32427,0.7378,0.209118,0.5343,-0.0084,0.5205,0.5127,-0.167,16.5,24.0,26.0,33.5,13800,13.94
70,200,69.63448,0.348172,0.734,0.214315,0.6117,-0.0044,0.4774,0.4908,-0.161,19.5,25.0,28.5,27.0,14000,14.75
71,200,61.226366,0.306132,0.7302,0.232974,0.5046,-0.0057,0.4839,0.4896,-0.158,21.0,18.0,28.5,32.5,14200,15.67
72,200,69.495894,0.347479,0.7264,0.146224,0.5931,-0.0048,0.5071,0.5187,-0.165,17.5,24.5,24.5,33.5,14400,15.17
73,200,65.824514,0.329123,0.7226,0.222763,0.518,-0.0058,0.5515,0.5595,-0.153,23.5,26.0,24.0,26.5,14600,14.54
74,200,67.201679,0.336008,0.7188,0.149637,0.4727,-0.0102,0.6601,0.6678,-0.163,18.5,25.5,25.0,31.0,14800,16.13
75,200,67.714655,0.338573,0.715,0.209025,0.5129,-0.0054,0.5996,0.6054,-0.157,21.5,26.5,28.5,23.5,15000,14.92
76,200,59.739017,0.298695,0.7112,0.221158,0.5062,-0.0072,0.4466,0.4652,-0.155,22.5,24.0,31.5,22.0,15200,17.31
77,200,67.924395,0.339622,0.7074,0.250398,0.5262,-0.0033,0.5723,0.5914,-0.15,25.0,33.0,16.0,26.0,15400,15.46
78,200,65.097735,0.325489,0.7036,0.149993,0.5251,-0.0069,0.5375,0.5328,-0.167,16.5,23.5,34.0,26.0,15600,16.54
79,200,68.220213,0.341101,0.6998,0.297992,0.562,-0.0056,0.5322,0.534,-0.155,22.5,30.5,24.5,22.5,15800,14.67
80,200,63.755046,0.318775,0.696,0.169932,0.4698,-0.0073,0.5901,0.5967,-0.155,22.5,24.5,28.0,25.0,16000,16.74
81,200,68.770204,0.343851,0.6922,0.139927,0.5453,-0.0036,0.5622,0.5718,-0.149,25.5,29.0,25.5,20.0,16200,15.26
82,200,66.436528,0.332183,0.6884,0.194803,0.5492,-0.0112,0.537,0.5205,-0.173,13.5,30.0,31.5,25.0,16400,16.03
83,200,63.077912,0.31539,0.6846,0.257361,0.5142,-0.008,0.5064,0.5174,-0.16,20.0,25.0,24.5,30.5,16600,14.98
84,200,67.728707,0.338644,0.6808,0.235767,0.5197,-0.0064,0.5998,0.5878,-0.164,18.0,25.5,27.5,29.0,16800,16.12
85,200,63.171971,0.31586,0.677,0.140101,0.5206,-0.0076,0.4926,0.5171,-0.161,19.5,34.0,20.0,26.5,17000,15.38
86,200,61.729632,0.308648,0.6732,0.259605,0.4548,-0.0117,0.5825,0.586,-0.163,18.5,26.5,35.0,20.0,17200,14.53
87,200,62.960236,0.314801,0.6694,0.255312,0.4882,-0.0084,0.5446,0.5643,-0.165,17.5,28.0,31.0,23.5,17400,17.26
88,200,67.618853,0.338094,0.6656,0.263147,0.5205,-0.0056,0.5803,0.5965,-0.154,23.0,26.5,19.0,31.5,17600,15.53
89,200,67.636915,0.338185,0.6618,0.296379,0.5876,-0.0072,0.4836,0.497,-0.173,13.5,37.0,22.0,27.5,17800,17.38
90,200,69.179249,0.345896,0.658,0.179533,0.5911,-0.0077,0.5072,0.5188,-0.166,17.0,25.5,23.5,34.0,18000,16.17
91,200,63.512904,0.317565,0.6542,0.253406,0.4637,-0.0127,0.6045,0.6079,-0.162,19.0,29.5,25.0,26.5,18200,16.07
92,200,67.652433,0.338262,0.6504,0.163606,0.5307,-0.0075,0.5689,0.5862,-0.161,19.5,27.5,27.0,26.0,18400,15.05
93,200,62.24079,0.311204,0.6466,0.211314,0.49,-0.0128,0.5447,0.5391,-0.172,14.0,25.0,28.0,33.0,18600,17.59
94,200,63.222122,0.316111,0.6428,0.209817,0.4147,-0.0129,0.6745,0.6858,-0.163,18.5,27.5,23.5,30.5,18800,15.26
95,200,63.879463,0.319397,0.639,0.318671,0.4887,-0.0123,0.5755,0.5708,-0.164,18.0,35.0,27.5,19.5,19000,17.04
96,200,58.475171,0.292376,0.6352,0.362271,0.5117,-0.0082,0.4094,0.4336,-0.15,25.0,24.5,21.0,29.5,19200,15.96
97,200,67.280747,0.336404,0.6314,0.149625,0.5155,-0.0122,0.5881,0.6184,-0.168,16.0,34.0,24.0,26.0,19400,16.27
98,200,63.182015,0.31591,0.6276,0.248136,0.424,-0.0119,0.6631,0.6654,-0.167,16.5,22.0,37.0,24.5,19600,17.36
99,200,61.498356,0.307492,0.6238,0.31917,0.4413,-0.0127,0.5979,0.6035,-0.159,20.5,28.5,24.5,26.5,19800,17.03
100,200,69.789127,0.348946,0.62,0.236313,0.5576,-0.0078,0.5818,0.5718,-0.166,17.0,32.0,28.0,23.0,20000,17.89
